"","Orders_Unique","Returns_Unique","Total_Items_Purchased","Quantity_Basket","Total_Items_Returned","Types_Items_Purchased","Unique_Item_Per_Basket","Types_Items_Returned","Unique_Item_Per_Return","Sales_Revenue","Return_Refund","Average_Unit_Price_Purchase","Average_Unit_Refund_Return","Country","Is_Buying_Most_Popular","Recency","Y_Income","RFMSeg"
"296",5,0,638,127.6,0,153,52.4,0,0,1161.66,0,1.82078369905956,0,"United Kingdom","1",26,1556.37,"1"
"298",1,0,174,174,0,50,57,0,0,402.36,0,2.31241379310345,0,"United Kingdom","0",176,350.08,"1"
"299",4,0,479,119.75,0,90,27.25,0,0,820.88,0,1.7137369519833,0,"United Kingdom","1",88,1272.8,"1"
"300",9,4,2593,288.111111111111,-41,124,18.5555555555556,7,2.75,3661.18,-78.85,1.41194755109911,1.92317073170732,"United Kingdom","1",6,3938.84,"2"
"303",0,1,0,0,-7,0,0,2,2,0,-22.11,0,3.15857142857143,"United Kingdom","0",176,173.76,"1"
"304",2,2,636,318,-3,59,30,1,1,978.99,-12.75,1.53929245283019,4.25,"United Kingdom","0",0,810.57,"1"
"305",3,1,485,161.666666666667,-15,20,9.33333333333333,4,4,1072.43,-54.75,2.21119587628866,3.65,"United Kingdom","1",40,972.44,"2"
"306",3,1,566,188.666666666667,-3,41,15.3333333333333,1,1,955.6,-4.95,1.68833922261484,1.65,"United Kingdom","0",14,888.42,"1"
"308",1,0,127,127,0,27,29,0,0,193.3,0,1.52204724409449,0,"United Kingdom","0",176,506.51,"1"
"309",3,1,457,152.333333333333,-4,49,17,1,1,922.11,-11.8,2.01774617067834,2.95,"United Kingdom","0",123,867.61,"2"
"311",2,0,466,233,0,36,24,0,0,910.1,0,1.95300429184549,0,"United Kingdom","0",44,290.52,"0"
"312",7,4,404,57.7142857142857,-5,87,19.2857142857143,5,1.25,1336.35,-25.85,3.30779702970297,5.17,"United Kingdom","1",12,919.8,"2"
"313",3,0,345,115,0,12,5,0,0,866.39,0,2.51127536231884,0,"United Kingdom","0",90,1617.24,"1"
"314",3,0,89,29.6666666666667,0,28,9.33333333333333,0,0,310.96,0,3.49393258426966,0,"United Kingdom","0",23,117.22,"1"
"315",2,0,635,317.5,0,67,40,0,0,1174.03,0,1.84886614173228,0,"United Kingdom","1",162,1,"1"
"316",3,3,310,103.333333333333,-16,142,56.3333333333333,5,1.66666666666667,664.76,-19.3,2.14438709677419,1.20625,"United Kingdom","1",26,1183.77,"2"
"318",3,1,664,221.333333333333,-3,75,25.6666666666667,3,3,1393.72,-24.95,2.09897590361446,8.31666666666667,"United Kingdom","0",48,2434.04,"2"
"320",2,0,160,80,0,1,1,0,0,408,0,2.55,0,"United Kingdom","1",62,163.2,"1"
"322",3,1,364,121.333333333333,-1,42,15.6666666666667,1,1,960.69,-1.25,2.63925824175824,1.25,"United Kingdom","0",168,2519.41,"2"
"323",8,0,3233,404.125,0,203,36.125,0,0,5019.01,0,1.55243117847201,0,"United Kingdom","1",26,8091.01,"1"
"324",3,0,267,89,0,79,31.6666666666667,0,0,641,0,2.40074906367041,0,"United Kingdom","1",62,812.16,"1"
"325",2,0,202,101,0,16,8.5,0,0,532.38,0,2.63554455445545,0,"United Kingdom","0",33,663.56,"0"
"326",2,1,94,47,-1,17,8.5,1,1,291.34,-39.95,3.09936170212766,39.95,"United Kingdom","1",56,204.87,"1"
"327",8,1,3263,407.875,-31,94,20,10,10,7907.58,-97.22,2.4234079068342,3.13612903225806,"United Kingdom","1",12,1641.18,"2"
"328",4,0,585,146.25,0,31,9.25,0,0,1403.61,0,2.39933333333333,0,"United Kingdom","0",13,3741.51,"1"
"329",11,5,1898,172.545454545455,-18,112,19.1818181818182,10,2,4527.84,-91.2,2.38558482613277,5.06666666666667,"United Kingdom","1",12,6227.7,"2"
"330",3,0,869,289.666666666667,0,32,11,0,0,1189.86,0,1.36922899884925,0,"United Kingdom","0",68,2352.06,"1"
"331",5,0,1229,245.8,0,44,12.2,0,0,1781.28,0,1.44937347436941,0,"United Kingdom","0",11,1920.16,"1"
"332",1,0,43,43,0,23,23,0,0,109.82,0,2.55395348837209,0,"United Kingdom","0",175,228.8,"1"
"334",1,0,213,213,0,15,15,0,0,373.49,0,1.75347417840376,0,"United Kingdom","0",175,1362.91,"1"
"338",1,0,74,74,0,16,16,0,0,156.19,0,2.11067567567568,0,"United Kingdom","1",175,652.68,"1"
"339",3,0,333,111,0,53,20.3333333333333,0,0,680.59,0,2.04381381381381,0,"United Kingdom","1",104,955.84,"1"
"340",12,5,2866,238.833333333333,-46,98,17.5833333333333,6,1.4,7506.15,-122.3,2.6190334961619,2.65869565217391,"United Kingdom","1",12,12714.25,"2"
"341",5,3,613,122.6,-6,52,14.2,3,1.33333333333333,1448.01,-8.45,2.36216965742251,1.40833333333333,"United Kingdom","1",15,1332.31,"2"
"342",6,0,555,92.5,0,190,35.6666666666667,0,0,1235.15,0,2.2254954954955,0,"United Kingdom","1",33,2418.6,"1"
"343",3,1,248,82.6666666666667,-1,16,7.66666666666667,1,1,587.06,-2.08,2.36717741935484,2.08,"United Kingdom","0",7,534.33,"1"
"346",2,0,725,362.5,0,91,51,0,0,816.22,0,1.12582068965517,0,"United Kingdom","0",97,611.35,"1"
"347",3,0,1117,372.333333333333,0,63,28,0,0,1823.43,0,1.63243509400179,0,"Others","1",54,2486.57,"1"
"348",3,0,1074,358,0,23,8,0,0,1307.62,0,1.21752327746741,0,"United Kingdom","0",27,2591.48,"1"
"349",4,0,513,128.25,0,58,15.25,0,0,1129.74,0,2.20222222222222,0,"United Kingdom","1",15,1107,"1"
"350",7,1,972,138.857142857143,-1,87,14.5714285714286,1,1,2045.8,-10.75,2.10473251028807,10.75,"United Kingdom","0",57,2165.92,"2"
"351",4,0,146,36.5,0,41,13,0,0,691.8,0,4.73835616438356,0,"United Kingdom","0",13,999.71,"1"
"352",1,0,32,32,0,3,3,0,0,172,0,5.375,0,"United Kingdom","0",175,1006.56,"1"
"353",5,1,816,163.2,-1,81,28.4,1,1,1627.27,-10.95,1.99420343137255,10.95,"United Kingdom","1",11,576.4,"1"
"354",4,1,936,234,-2,47,20,1,1,1395.89,-3.3,1.49133547008547,1.65,"United Kingdom","0",6,4191.03,"1"
"355",2,1,113,56.5,-2,16,8.5,2,2,248.05,-17.45,2.19513274336283,8.725,"United Kingdom","1",12,256.75,"1"
"358",1,0,128,128,0,1,1,0,0,326.4,0,2.55,0,"United Kingdom","0",174,1534.54,"1"
"359",1,1,105,105,-1,9,9,1,1,164.25,-1.45,1.56428571428571,1.45,"United Kingdom","1",168,318.55,"2"
"360",10,8,1440,144,-18,67,16.1,7,1.25,4467.16,-123.05,3.10219444444444,6.83611111111111,"United Kingdom","0",7,8088.17,"2"
"361",11,4,936,85.0909090909091,-14,60,9.27272727272727,5,1.5,2210.14,-81.55,2.36126068376068,5.825,"United Kingdom","1",7,2275.85,"2"
"363",7,3,1385,197.857142857143,-38,43,8,15,7,3897.87,-221.07,2.81434657039711,5.81763157894737,"Others","1",22,5587.3,"2"
"364",2,0,423,211.5,0,34,20.5,0,0,691.01,0,1.63359338061466,0,"United Kingdom","1",63,2174.63,"1"
"365",9,5,2351,261.222222222222,-50,207,55.6666666666667,10,2.2,3470.9,-115.02,1.47635048915355,2.3004,"United Kingdom","1",25,4436.63,"2"
"368",1,2,175,175,-36,7,7,2,1,304.2,-48.6,1.73828571428571,1.35,"United Kingdom","0",162,484.8,"2"
"369",4,0,675,168.75,0,55,20.75,0,0,879.38,0,1.30278518518519,0,"United Kingdom","0",34,1705.03,"1"
"371",3,1,564,188,-7,61,22,2,2,610.92,-14.25,1.0831914893617,2.03571428571429,"United Kingdom","0",91,1852.13,"2"
"373",6,0,729,121.5,0,87,18.6666666666667,0,0,1828.47,0,2.50818930041152,0,"United Kingdom","1",7,1557.15,"1"
"375",5,5,1089,217.8,-22,41,16.6,6,1.4,1535.57,-39.9,1.41007346189164,1.81363636363636,"United Kingdom","0",8,1434.17,"1"
"376",4,0,427,106.75,0,51,13,0,0,888.85,0,2.08161592505855,0,"United Kingdom","1",97,9208.52,"1"
"377",2,0,294,147,0,40,21,0,0,568.13,0,1.93241496598639,0,"United Kingdom","1",67,2231.29,"1"
"378",14,1,3819,272.785714285714,-162,60,7.14285714285714,8,8,7088.29,-529.7,1.85605917779523,3.26975308641975,"United Kingdom","1",4,5336.98,"2"
"379",7,2,1787,255.285714285714,-46,82,12.4285714285714,6,3,3534.61,-129.3,1.97795747062115,2.81086956521739,"United Kingdom","0",14,4507.48,"2"
"381",2,0,446,223,0,16,9.5,0,0,249.84,0,0.560179372197309,0,"United Kingdom","0",140,434.58,"1"
"382",5,1,1062,212.4,-12,61,13.2,1,1,1077.42,-23.4,1.0145197740113,1.95,"United Kingdom","0",61,1002.27,"2"
"383",10,3,2195,219.5,-23,134,20.8,9,3.66666666666667,3450.58,-62.59,1.57201822323462,2.72130434782609,"United Kingdom","1",0,4869.05,"1"
"384",8,4,1114,139.25,-8,156,27.75,6,1.5,2611.63,-61.4,2.34437163375224,7.675,"United Kingdom","1",43,4277.65,"2"
"386",2,0,229,114.5,0,87,46.5,0,0,421.59,0,1.84100436681223,0,"United Kingdom","0",14,107.7,"0"
"387",4,1,300,75,-1,99,30.25,1,1,791.07,-8.5,2.6369,8.5,"United Kingdom","1",4,657.49,"1"
"389",2,0,606,303,0,17,8.5,0,0,702.23,0,1.15879537953795,0,"United Kingdom","0",139,284.25,"1"
"390",1,0,246,246,0,127,136,0,0,416.61,0,1.69353658536585,0,"United Kingdom","0",174,265.68,"1"
"391",11,3,1600,145.454545454545,-15,42,8.45454545454546,5,1.66666666666667,5833.48,-133.05,3.645925,8.87,"United Kingdom","1",14,9776.91,"2"
"392",4,1,328,82,-2,56,15,2,2,733.6,-18.3,2.23658536585366,9.15,"United Kingdom","0",54,750.71,"2"
"393",2,2,90,45,-9,9,4.5,2,1.5,326.5,-114.55,3.62777777777778,12.7277777777778,"United Kingdom","0",137,210.18,"2"
"394",1,0,67,67,0,19,19,0,0,147.2,0,2.19701492537313,0,"United Kingdom","0",174,407.66,"1"
"396",5,0,706,141.2,0,13,5,0,0,1190.62,0,1.68643059490085,0,"United Kingdom","0",14,928.79,"1"
"397",16,12,2070,129.375,-145,79,8.4375,24,3.66666666666667,8856.16,-1009.8,4.27833816425121,6.96413793103448,"United Kingdom","1",0,2663.64,"2"
"398",9,2,3944,438.222222222222,-5,58,8.55555555555556,2,1,4731.18,-55.25,1.1995892494929,11.05,"United Kingdom","0",13,988.64,"2"
"400",7,2,255,36.4285714285714,-5,36,5.71428571428571,2,1,823.89,-39.95,3.23094117647059,7.99,"United Kingdom","0",7,1141.42,"1"
"401",4,0,327,81.75,0,7,2.5,0,0,955.36,0,2.92159021406728,0,"United Kingdom","0",35,298,"1"
"403",1,0,116,116,0,7,7,0,0,376.3,0,3.24396551724138,0,"United Kingdom","0",174,1962.3,"1"
"404",1,0,158,158,0,15,15,0,0,300.7,0,1.90316455696203,0,"United Kingdom","0",174,1066.07,"1"
"406",4,0,971,242.75,0,44,14.25,0,0,1238.44,0,1.27542739443872,0,"United Kingdom","0",70,2535.66,"1"
"407",0,1,0,0,-3,0,0,1,1,0,-20.85,0,6.95,"United Kingdom","0",174,233.81,"1"
"408",3,0,828,276,0,92,34,0,0,2369.24,0,2.86140096618357,0,"United Kingdom","1",7,1386.14,"0"
"410",8,0,247,30.875,0,104,14,0,0,630.76,0,2.55368421052632,0,"United Kingdom","0",34,2795.01,"1"
"411",1,0,331,331,0,30,30,0,0,478.89,0,1.44679758308157,0,"United Kingdom","1",174,854.79,"1"
"412",6,0,320,53.3333333333333,0,95,23.8333333333333,0,0,867,0,2.709375,0,"United Kingdom","1",93,251.96,"1"
"413",1,1,92,92,-3,5,5,1,1,211.8,-14.85,2.30217391304348,4.95,"United Kingdom","0",145,341.64,"2"
"414",1,0,144,144,0,1,1,0,0,103.68,0,0.72,0,"United Kingdom","0",174,14093.77,"1"
"416",0,3,0,0,-6,0,0,3,1,0,-14.6,0,2.43333333333333,"United Kingdom","0",109,2220.23,"1"
"417",2,0,2700,1350,0,3,2,0,0,935,0,0.346296296296296,0,"United Kingdom","0",105,320,"1"
"418",1,0,74,74,0,15,15,0,0,158.26,0,2.13864864864865,0,"United Kingdom","1",174,264.21,"1"
"419",1,1,59,59,-1,9,9,1,1,171.15,-9.95,2.90084745762712,9.95,"United Kingdom","1",168,185.55,"2"
"421",4,1,3198,799.5,-1,133,47.5,1,1,5802.81,-267.12,1.81451219512195,267.12,"United Kingdom","0",0,6355.49,"1"
"423",3,0,256,85.3333333333333,0,67,25.6666666666667,0,0,627.17,0,2.4498828125,0,"United Kingdom","0",71,389.51,"1"
"425",1,0,47,47,0,6,6,0,0,120.65,0,2.56702127659574,0,"United Kingdom","0",174,129.5,"1"
"427",6,0,640,106.666666666667,0,54,12.1666666666667,0,0,983.34,0,1.53646875,0,"United Kingdom","0",41,2369.62,"1"
"428",4,1,728,182,-160,45,11.75,2,2,1602.7,-67.2,2.20151098901099,0.42,"United Kingdom","1",18,1036.24,"1"
"430",5,1,657,131.4,-4,69,16.6,1,1,1513.07,-15,2.30299847792998,3.75,"United Kingdom","1",53,1037.81,"2"
"432",1,0,60,60,0,5,5,0,0,63,0,1.05,0,"United Kingdom","0",173,1,"1"
"434",4,2,430,107.5,-10,31,10.25,3,1.5,739.02,-45.1,1.7186511627907,4.51,"United Kingdom","1",4,858.09,"1"
"435",5,0,2112,422.4,0,12,5.4,0,0,3996.24,0,1.89215909090909,0,"United Kingdom","1",35,5069.52,"1"
"436",11,5,3778,343.454545454545,-118,207,25.5454545454545,6,1.4,4363.07,-100.75,1.15486236103759,0.853813559322034,"United Kingdom","1",15,3973.33,"2"
"437",7,1,1934,276.285714285714,-14,104,18.1428571428571,1,1,3084.05,-5.46,1.59464839710445,0.39,"Others","0",12,2495.77,"2"
"439",10,1,3818,381.8,-7,151,22.5,1,1,7355.82,-11.55,1.92661602933473,1.65,"Others","1",8,6267.8,"2"
"440",9,3,2608,289.777777777778,-7,118,18.7777777777778,3,1,4417.57,-71.75,1.69385352760736,10.25,"Others","1",19,3875.27,"2"
"441",16,2,1540,96.25,-10,30,4.4375,2,1,5159.54,-63.7,3.35035064935065,6.37,"United Kingdom","1",4,2929.18,"2"
"442",4,4,285,71.25,-10,34,10.25,4,1,715.64,-31.05,2.51101754385965,3.105,"Others","0",4,454.76,"1"
"444",1,1,126,126,-8,16,16,2,2,285.58,-30,2.26650793650794,3.75,"United Kingdom","0",69,493.36,"1"
"445",2,0,652,326,0,39,20.5,0,0,1719.48,0,2.63723926380368,0,"Others","1",35,2030.92,"0"
"448",3,3,140,46.6666666666667,-51,9,3.33333333333333,3,1,872.8,-473.3,6.23428571428571,9.28039215686274,"United Kingdom","0",12,307.2,"1"
"450",2,0,205,102.5,0,42,22,0,0,442.41,0,2.15809756097561,0,"United Kingdom","0",65,221.24,"1"
"451",1,0,60,60,0,5,5,0,0,112.6,0,1.87666666666667,0,"United Kingdom","0",173,153.16,"1"
"452",2,0,356,178,0,99,57,0,0,622.92,0,1.74977528089888,0,"United Kingdom","0",47,413.7,"1"
"453",1,2,48,48,-2,2,2,2,1,300,-9.2,6.25,4.6,"United Kingdom","0",77,389.48,"2"
"454",8,1,3917,489.625,-6,108,24,1,1,6816.2,-29.7,1.74015828440133,4.95,"United Kingdom","1",11,9143.24,"2"
"455",15,3,2499,166.6,-44,95,12.7333333333333,6,2,3769.16,-87.8,1.50826730692277,1.99545454545455,"United Kingdom","1",6,2654.93,"2"
"456",1,1,126,126,-104,14,14,14,14,222.9,-238.2,1.76904761904762,2.29038461538462,"United Kingdom","0",72,234.08,"1"
"457",1,1,484,484,-23,30,30,5,5,439.8,-88.15,0.908677685950413,3.83260869565217,"United Kingdom","0",14,1368.07,"1"
"458",5,0,356,71.2,0,55,12.2,0,0,735.61,0,2.0663202247191,0,"United Kingdom","1",12,1736.48,"1"
"459",2,0,512,256,0,39,26,0,0,903.8,0,1.765234375,0,"United Kingdom","1",134,957.31,"1"
"460",3,0,573,191,0,64,23,0,0,1624,0,2.83420593368237,0,"United Kingdom","0",8,682.52,"0"
"461",1,0,24,24,0,5,5,0,0,103.7,0,4.32083333333333,0,"United Kingdom","0",173,111.38,"1"
"462",2,0,22,11,0,11,5.5,0,0,21.31,0,0.968636363636364,0,"United Kingdom","0",77,15.25,"1"
"464",4,0,643,160.75,0,69,27.5,0,0,1061.67,0,1.65111975116641,0,"United Kingdom","0",54,1547.63,"1"
"465",2,1,311,155.5,-9,26,14,2,2,786.73,-104.55,2.52967845659164,11.6166666666667,"United Kingdom","0",12,601.9,"1"
"466",1,1,204,204,-12,17,17,2,2,375,-19.8,1.83823529411765,1.65,"Others","0",20,248.51,"1"
"467",1,1,196,196,-3,22,22,3,3,376.7,-16,1.9219387755102,5.33333333333333,"United Kingdom","1",141,739.77,"2"
"468",1,0,16,16,0,4,4,0,0,60,0,3.75,0,"United Kingdom","0",173,183.36,"1"
"469",3,2,662,220.666666666667,-12,29,15.6666666666667,1,1,1254.3,-81,1.89471299093656,6.75,"United Kingdom","0",15,1543.3,"1"
"470",2,0,115,57.5,0,60,31.5,0,0,287.64,0,2.50121739130435,0,"Others","1",132,650.28,"1"
"471",1,0,196,196,0,15,15,0,0,315,0,1.60714285714286,0,"United Kingdom","0",173,729.32,"1"
"472",1,3,108,108,-9,13,13,2,1,356.84,-96.1,3.30407407407407,10.6777777777778,"United Kingdom","0",63,1284.4,"2"
"474",2,2,532,266,-4,42,25,3,1.5,814.83,-29.6,1.53163533834586,7.4,"United Kingdom","0",28,1425.03,"1"
"476",3,0,613,204.333333333333,0,45,16.3333333333333,0,0,697.1,0,1.13719412724307,0,"United Kingdom","0",124,771.02,"1"
"478",4,0,572,143,0,38,11.75,0,0,1421.95,0,2.48592657342657,0,"United Kingdom","0",67,2195.62,"1"
"479",2,2,499,249.5,-5,57,32,4,2,1125.57,-25.75,2.25565130260521,5.15,"United Kingdom","1",14,1409.07,"1"
"481",3,3,97,32.3333333333333,-14,38,15.6666666666667,2,1,377.89,-76.5,3.89577319587629,5.46428571428571,"United Kingdom","1",44,125.01,"2"
"482",0,1,0,0,-6,0,0,3,3,0,-17.7,0,2.95,"United Kingdom","0",173,1023.2,"1"
"483",1,0,117,117,0,23,23,0,0,383.07,0,3.27410256410256,0,"United Kingdom","1",173,511.34,"1"
"484",4,4,559,139.75,-13,51,18.75,5,1.75,1389.69,-63.25,2.48602862254025,4.86538461538461,"United Kingdom","0",7,16.9,"1"
"485",3,0,167,55.6666666666667,0,68,29.6666666666667,0,0,531.11,0,3.1802994011976,0,"United Kingdom","1",42,397.65,"1"
"486",9,2,849,94.3333333333333,-9,113,16.4444444444444,3,1.5,1402.58,-68.15,1.65203769140165,7.57222222222222,"United Kingdom","1",22,2065.5,"2"
"487",6,1,721,120.166666666667,-2,93,27.6666666666667,2,2,1202.03,-2.1,1.6671705963939,1.05,"United Kingdom","1",26,1460.17,"2"
"488",6,0,383,63.8333333333333,0,75,19,0,0,1185.7,0,3.09582245430809,0,"United Kingdom","0",89,2024.59,"1"
"489",9,0,896,99.5555555555556,0,251,38.6666666666667,0,0,1763.63,0,1.96833705357143,0,"United Kingdom","1",9,948.44,"1"
"490",6,0,841,140.166666666667,0,112,22.5,0,0,1503.18,0,1.78737217598098,0,"United Kingdom","1",26,7453.74,"1"
"492",5,1,1413,282.6,-8,114,26.8,3,3,2503.78,-23.05,1.77196036801132,2.88125,"United Kingdom","0",5,2931.14,"1"
"493",3,1,389,129.666666666667,-1,22,7.66666666666667,1,1,493.84,-4.95,1.26951156812339,4.95,"United Kingdom","0",85,1712.16,"2"
"494",2,0,112,56,0,11,7,0,0,334.2,0,2.98392857142857,0,"United Kingdom","0",81,506.88,"1"
"495",4,0,957,239.25,0,140,38.5,0,0,1580.47,0,1.65148380355277,0,"United Kingdom","1",50,406.86,"1"
"498",9,0,377,41.8888888888889,0,47,7.77777777777778,0,0,897.01,0,2.37933687002653,0,"United Kingdom","1",6,1067.29,"1"
"499",6,1,4087,681.166666666667,-61,73,20.8333333333333,2,2,8230.09,-86,2.01372400293614,1.40983606557377,"Others","1",20,10649.32,"2"
"500",2,0,161,80.5,0,45,28.5,0,0,307.14,0,1.90770186335404,0,"United Kingdom","0",60,744.65,"1"
"501",6,2,3524,587.333333333333,-16,13,5.16666666666667,3,1.5,3557.48,-43.15,1.00950056753689,2.696875,"United Kingdom","0",0,5053.91,"1"
"502",1,0,34,34,0,26,26,0,0,111.8,0,3.28823529411765,0,"United Kingdom","0",172,35.4,"1"
"503",8,2,445,55.625,-52,29,5.375,10,11,2191.2,-511.51,4.92404494382022,9.83673076923077,"United Kingdom","0",22,1236.48,"2"
"504",2,0,333,166.5,0,26,13,0,0,578.18,0,1.73627627627628,0,"United Kingdom","1",49,575.44,"1"
"508",6,1,461,76.8333333333333,-3,56,11.1666666666667,1,1,1147.73,-12.75,2.48965292841649,4.25,"United Kingdom","1",27,1245.1,"2"
"510",7,2,1470,210,-3,14,3,1,1,3327.94,-6.3,2.26390476190476,2.1,"United Kingdom","1",8,3532.87,"2"
"511",4,1,1076,269,-5,48,18,1,1,1475.08,-14.75,1.37089219330855,2.95,"United Kingdom","1",28,1228.15,"2"
"513",6,2,1184,197.333333333333,-337,50,16.5,23,15.5,2501.94,-1116.27,2.113125,3.31237388724036,"United Kingdom","0",33,1521.78,"2"
"514",1,0,56,56,0,7,7,0,0,106.4,0,1.9,0,"United Kingdom","0",172,202.64,"1"
"515",7,3,2380,340,-18,109,23.8571428571429,6,2.66666666666667,4161.66,-127.53,1.74859663865546,7.085,"United Kingdom","1",5,6124.41,"2"
"516",5,0,695,139,0,152,37.4,0,0,1462.83,0,2.10479136690647,0,"United Kingdom","0",14,1724.72,"1"
"517",3,2,1599,533,-9,90,40.6666666666667,6,3,3233.45,-44.15,2.02217010631645,4.90555555555556,"United Kingdom","0",5,3877.01,"1"
"519",3,1,1294,431.333333333333,-30,45,15.3333333333333,1,1,1455.12,-16.5,1.12451313755796,0.55,"United Kingdom","0",41,747.58,"2"
"520",2,0,118,59,0,37,19.5,0,0,318.85,0,2.7021186440678,0,"United Kingdom","0",123,1158.81,"1"
"521",1,0,44,44,0,18,18,0,0,102.35,0,2.32613636363636,0,"United Kingdom","0",172,273,"1"
"522",9,6,1410,156.666666666667,-210,159,28.1111111111111,21,3.83333333333333,3143.52,-509.98,2.22944680851064,2.42847619047619,"United Kingdom","1",7,3854.76,"2"
"524",2,1,262,131,-1,99,57,1,1,501.67,-9.95,1.91477099236641,9.95,"United Kingdom","1",107,484.83,"2"
"525",2,0,191,95.5,0,54,31,0,0,468.01,0,2.45031413612565,0,"United Kingdom","0",40,391.7,"1"
"526",4,3,7003,1750.75,-95,87,32.25,16,5.66666666666667,12940.51,-238.66,1.84785234899329,2.51221052631579,"Others","0",35,8322.16,"2"
"528",4,0,414,103.5,0,133,35.25,0,0,741.05,0,1.78997584541063,0,"United Kingdom","1",51,596.13,"1"
"529",1,0,87,87,0,33,34,0,0,167.09,0,1.92057471264368,0,"United Kingdom","0",170,633.58,"1"
"530",1,0,1728,1728,0,1,1,0,0,293.76,0,0.17,0,"United Kingdom","0",170,49.47,"1"
"532",4,1,628,157,-2,92,35.25,2,2,1214.65,-11.6,1.93415605095541,5.8,"United Kingdom","1",58,347.75,"2"
"533",11,3,2290,208.181818181818,-17,150,19.9090909090909,12,4.66666666666667,3732.87,-34.2,1.63007423580786,2.01176470588235,"United Kingdom","1",9,2463.64,"2"
"534",2,0,270,135,0,140,82.5,0,0,493.44,0,1.82755555555556,0,"United Kingdom","1",23,708.07,"0"
"536",7,0,1601,228.714285714286,0,199,40.8571428571429,0,0,2383.13,0,1.48852592129919,0,"United Kingdom","1",2,2527.47,"1"
"537",2,0,1101,550.5,0,245,136,0,0,1775.42,0,1.61255222524977,0,"United Kingdom","1",70,1299,"1"
"538",2,0,198,99,0,31,17,0,0,337.44,0,1.70424242424242,0,"United Kingdom","0",89,256.6,"1"
"539",11,4,1354,123.090909090909,-8,130,20.8181818181818,6,1.75,4455.73,-60.9,3.29079025110783,7.6125,"United Kingdom","1",15,3169.05,"2"
"541",1,0,48,48,0,1,1,0,0,204,0,4.25,0,"United Kingdom","0",170,1581.15,"1"
"543",5,2,1336,267.2,-6,319,79.6,3,1.5,3159.86,-45.44,2.36516467065868,7.57333333333333,"United Kingdom","1",12,2658.07,"2"
"544",5,0,18,3.6,0,17,3.4,0,0,60.82,0,3.37888888888889,0,"United Kingdom","0",33,9.2,"1"
"547",4,1,1868,467,-64,15,4.75,1,2,3741.88,-380.8,2.003147751606,5.95,"United Kingdom","0",4,2721.96,"1"
"548",1,0,56,56,0,6,6,0,0,103.5,0,1.84821428571429,0,"United Kingdom","0",169,150.6,"1"
"549",1,1,220,220,-2,23,23,2,2,777.56,-7.2,3.53436363636364,3.6,"United Kingdom","1",124,1537.09,"2"
"550",3,2,1863,621,-16,140,48.6666666666667,3,1.5,2362.44,-55.3,1.26808373590982,3.45625,"United Kingdom","1",28,3513.02,"2"
"551",4,0,901,225.25,0,58,18,0,0,1246.82,0,1.3838179800222,0,"United Kingdom","0",22,2618.44,"1"
"552",1,0,70,70,0,13,14,0,0,166.22,0,2.37457142857143,0,"United Kingdom","0",169,1791.1,"1"
"553",6,0,580,96.6666666666667,0,69,14.5,0,0,1584.39,0,2.73170689655172,0,"United Kingdom","1",12,1384.73,"1"
"554",5,2,1506,301.2,-22,40,9.2,4,2,1895.17,-55.05,1.25841301460823,2.50227272727273,"United Kingdom","0",13,3310.15,"2"
"556",1,0,836,836,0,53,54,0,0,1101.77,0,1.31790669856459,0,"United Kingdom","0",169,902.53,"1"
"557",5,0,1589,317.8,0,227,72.6,0,0,3620.85,0,2.27869729389553,0,"United Kingdom","1",13,2840.94,"1"
"559",6,1,751,125.166666666667,-3,146,29.3333333333333,2,2,1387.23,-29.85,1.84717709720373,9.95,"United Kingdom","1",50,1651.94,"2"
"560",2,1,899,449.5,-5,75,39,1,1,1877.55,-10.5,2.0884872080089,2.1,"United Kingdom","1",11,1206.72,"1"
"561",4,0,512,128,0,71,24.25,0,0,777.16,0,1.517890625,0,"United Kingdom","0",4,581.58,"0"
"562",2,2,511,255.5,-3,58,35,3,1.5,1235.13,-32.15,2.41708414872798,10.7166666666667,"United Kingdom","1",90,1749.36,"2"
"564",2,0,208,104,0,50,29.5,0,0,488.31,0,2.34764423076923,0,"United Kingdom","0",40,223.48,"1"
"567",3,0,367,122.333333333333,0,63,23,0,0,400.1,0,1.09019073569482,0,"United Kingdom","0",7,1,"0"
"568",1,0,39,39,0,7,7,0,0,92.14,0,2.3625641025641,0,"United Kingdom","0",169,326.26,"1"
"570",11,1,2302,209.272727272727,-3,119,14.6363636363636,1,1,5026.37,-17.85,2.18347958297133,5.95,"United Kingdom","1",18,13565.16,"2"
"572",4,1,757,189.25,-14,40,11.75,2,2,1189.87,-48.3,1.57182298546896,3.45,"United Kingdom","1",43,2963.5,"2"
"573",7,1,2473,353.285714285714,-3,17,5.57142857142857,1,1,3798.99,-32.85,1.53618681763041,10.95,"United Kingdom","1",11,3306.66,"2"
"574",2,2,1794,897,-41,45,24,3,1.5,3131.06,-168.15,1.74529542920847,4.10121951219512,"United Kingdom","1",62,943.36,"2"
"575",2,0,352,176,0,99,50,0,0,432.43,0,1.22849431818182,0,"United Kingdom","0",35,176.87,"1"
"576",6,3,652,108.666666666667,-23,50,11.3333333333333,7,2.66666666666667,1270.72,-54.75,1.94895705521472,2.3804347826087,"United Kingdom","1",12,1322.75,"2"
"577",0,1,0,0,-1,0,0,1,1,0,-1.25,0,1.25,"United Kingdom","0",168,439.71,"1"
